postcode,price
HU192AZ,83877.4842
LS122HH,99648.55177
NE638DY,74118.28089
NG162NH,92570.21327
NG165PR,95808.03514
NG166EB,93621.24343
NG163HF,89881.50821
OL162RF,78756.30434
OL162SX,83407.47567
PE131QD,54688.48965
SA733HP,74153.13936
SK138RL,89979.81601
SR67AA,85647.30117
NG166PE,67926.23572
OL162TY,73907.69287
OL163SW,81399.10876
S137QE,95369.65565
B347SQ,85358.34539
B440QG,92107.30733
BB186EU,68875.96387
CF470DJ,47944.79766
DL166JN,98636.29001
DL167DZ,66785.89212
GL155PE,90386.40929
HU55DR,90741.17919
HU52HY,69901.60334
M193FA,76105.88421
M298HD,84613.45498
NE312DP,98778.36158
NR310AW,88542.82686
S459TA,91489.37783
TS232PS,77803.93167
TS233EB,68677.67954
UB40XU,47956.99924
HU51DU,61321.52771
LS96NN,85336.154
BB67LQ,74669.73706
CF449NF,88053.846
CF447NY,50067.86099
FY20NQ,92373.57016
HD16ET,89138.25468
HD13TR,89028.23888
ST74BS,90304.58695
ST71PW,59227.49052
WF129HN,89450.52708
BB52NN,48248.52023
BB55PD,70218.35955
BB54JJ,56760.48082
CV58AL,94744.66592
DE238XL,36766.42548
DN123HL,98842.16371
DN121HB,70272.21355
DN24HP,71334.73422
DY27DR,73222.48436
DY28EX,83384.02486
DY29AY,97487.59868
HD33EU,90948.83158
TS177HA,60271.09979
TS179RA,69557.29317
CH54BA,86422.37693
CW71QL,79000
DL120SU,91209.65721
L337SW,65000
NE232UW,80081.05156
NE237AF,89676.26889
NE237JA,81596.24886
SK92SH,85820.62238
WS33HN,93276.36977
CV65HR,55811.48937
DN75PE,78659.5118
L44DG,59796.52966
NE349TZ,78435.25618
NN168XT,96000.22239
PE196AY,97067.39577
S730XX,77666.66667
S738DZ,92448.42493
S730AE,59374.75129
SK141QS,93627.98171
SK144JB,93330.66825
SN56NB,99600.34359
B440PJ,95940.53555
BD205SB,57636.21194
CF371NE,79660.30272
CF372NF,61410.42549
DH62DT,59309.9976
DH63HH,43622.25459
